# redshift	D_L [Mpc]
1.00000000e-05	4.25844949e-02
1.02096066e-05	4.34771014e-02
1.04236067e-05	4.43884178e-02
1.06420924e-05	4.53188363e-02
1.08651577e-05	4.62687573e-02
1.10928986e-05	4.72385897e-02
1.13254132e-05	4.82287507e-02
1.15628013e-05	4.92396666e-02
1.18051653e-05	5.02717723e-02
1.20526094e-05	5.13255121e-02
1.23052400e-05	5.24013393e-02
1.25631660e-05	5.34997171e-02
1.28264983e-05	5.46211180e-02
1.30953502e-05	5.57660248e-02
1.33698374e-05	5.69349300e-02
1.36500781e-05	5.81283368e-02
1.39361927e-05	5.93467588e-02
1.42283046e-05	6.05907203e-02
1.45265393e-05	6.18607566e-02
1.48310251e-05	6.31574143e-02
1.51418933e-05	6.44812515e-02
1.54592774e-05	6.58328379e-02
1.57833141e-05	6.72127551e-02
1.61141428e-05	6.86215970e-02
1.64519059e-05	7.00599700e-02
1.67967487e-05	7.15284930e-02
1.71488197e-05	7.30277980e-02
1.75082703e-05	7.45585303e-02
1.78752553e-05	7.61213488e-02
1.82499324e-05	7.77169258e-02
1.86324631e-05	7.93459482e-02
1.90230119e-05	8.10091170e-02
1.94217468e-05	8.27071480e-02
1.98288395e-05	8.44407720e-02
2.02444651e-05	8.62107350e-02
2.06688025e-05	8.80177988e-02
2.11020343e-05	8.98627412e-02
2.15443469e-05	9.17463560e-02
2.19959307e-05	9.36694541e-02
2.24569800e-05	9.56328630e-02
2.29276931e-05	9.76374277e-02
2.34082728e-05	9.96840110e-02
2.38989257e-05	1.01773494e-01
2.43998630e-05	1.03906775e-01
2.49113003e-05	1.06084773e-01
2.54334576e-05	1.08308425e-01
2.59665597e-05	1.10578688e-01
2.65108360e-05	1.12896540e-01
2.70665207e-05	1.15262977e-01
2.76338529e-05	1.17679018e-01
2.82130768e-05	1.20145704e-01
2.88044415e-05	1.22664095e-01
2.94082017e-05	1.25235276e-01
3.00246171e-05	1.27860353e-01
3.06539530e-05	1.30540456e-01
3.12964801e-05	1.33276739e-01
3.19524751e-05	1.36070378e-01
3.26222201e-05	1.38922578e-01
3.33060034e-05	1.41834564e-01
3.40041193e-05	1.44807591e-01
3.47168682e-05	1.47842938e-01
3.54445567e-05	1.50941911e-01
3.61874981e-05	1.54105845e-01
3.69460121e-05	1.57336100e-01
3.77204249e-05	1.60634068e-01
3.85110700e-05	1.64001168e-01
3.93182876e-05	1.67438849e-01
4.01424249e-05	1.70948590e-01
4.09838367e-05	1.74531902e-01
4.18428851e-05	1.78190328e-01
4.27199397e-05	1.81925443e-01
4.36153779e-05	1.85738853e-01
4.45295851e-05	1.89632200e-01
4.54629547e-05	1.93607161e-01
4.64158883e-05	1.97665445e-01
4.73887961e-05	2.01808800e-01
4.83820966e-05	2.06039009e-01
4.93962174e-05	2.10357893e-01
5.04315949e-05	2.14767310e-01
5.14886745e-05	2.19269160e-01
5.25679112e-05	2.23865379e-01
5.36697695e-05	2.28557946e-01
5.47947234e-05	2.33348881e-01
5.59432571e-05	2.38240246e-01
5.71158648e-05	2.43234146e-01
5.83130511e-05	2.48332731e-01
5.95353313e-05	2.53538197e-01
6.07832313e-05	2.58852782e-01
6.20572881e-05	2.64278776e-01
6.33580499e-05	2.69818513e-01
6.46860766e-05	2.75474379e-01
6.60419396e-05	2.81248808e-01
6.74262224e-05	2.87144286e-01
6.88395207e-05	2.93163350e-01
7.02824426e-05	2.99308592e-01
7.17556092e-05	3.05582656e-01
7.32596543e-05	3.11988244e-01
7.47952252e-05	3.18528114e-01
7.63629826e-05	3.25205080e-01
7.79636013e-05	3.32022017e-01
7.95977700e-05	3.38981859e-01
8.12661920e-05	3.46087603e-01
8.29695852e-05	3.53342307e-01
8.47086827e-05	3.60749095e-01
8.64842328e-05	3.68311156e-01
8.82969996e-05	3.76031744e-01
